MDTU,min_min,min_max,max_min,max_max5
478,-0.143846,-0.00891912,-0.013242,0.133011
479,-0.153453,-0.00367916,-0.00410728,0.115132
480,-0.158149,0.00664988,-0.0140323,0.12244
481,-0.149235,0.000603294,-0.0109603,0.119121
482,-0.149235,0.000603294,-0.0109603,0.119121
483,-0.142582,-0.00125192,-0.00767049,0.131573
484,-0.157054,0.0132399,-0.00136038,0.143879
485,-0.156611,0.0214244,-0.00716149,0.125812
486,-0.160478,0.0140174,-0.00970891,0.12866
487,-0.160478,0.0140174,-0.00970891,0.12866
488,-0.142885,0.010914,-0.00426742,0.128109
489,-0.14144,0.00129318,-0.000722241,0.112843
490,-0.14144,0.00129318,-0.000722241,0.112843
491,-0.125318,0.00101355,0.00719471,0.113515
492,-0.140941,-0.00215579,-0.0123443,0.116503
493,-0.149229,-0.00469653,0.000886648,0.115034
494,-0.146384,-0.00291139,-0.00491539,0.115937
495,-0.156321,-0.000325587,-0.0123503,0.120071
496,-0.165598,0.00860352,-0.0213752,0.124479
497,-0.175843,0.00275479,-0.0186606,0.1171
498,-0.177726,0.00978639,-0.0252266,0.131048
499,-0.170813,0.00191256,-0.0238702,0.123859
500,-0.165344,0.0022519,-0.0251253,0.115118
501,-0.165344,0.0022519,-0.0251253,0.115118
502,-0.165344,0.0022519,-0.0251253,0.115118
503,-0.165344,0.0022519,-0.0251253,0.115118
504,-0.16607,-0.00441509,-0.0258277,0.115798
505,-0.157482,-0.00849128,-0.017132,0.115004
506,-0.165298,-0.0038348,-0.026902,0.11677
507,-0.147734,-0.00150181,-0.0242491,0.127321
508,-0.149134,0.0114201,-0.0195413,0.124594
509,-0.149134,0.0114201,-0.0195413,0.124594
510,-0.153304,0.00633251,-0.00458435,0.121098
511,-0.153304,0.00633252,-0.00458436,0.121098
512,-0.155027,0.00851286,-0.0137736,0.121652
513,-0.155027,0.00851286,-0.0137736,0.121652
514,-0.161018,0.00749051,-0.00878483,0.119922
515,-0.15666,0.0110994,-0.0184259,0.129186
516,-0.154563,0.00608419,-0.0137856,0.122269
517,-0.139589,0.00910182,-0.0134138,0.133031
518,-0.157673,0.00542129,-0.0188441,0.12745
519,-0.157673,0.00542129,-0.0188441,0.12745
520,-0.137461,-0.00189003,0.00165634,0.120962
521,-0.137461,-0.00189002,0.00165634,0.120962
522,-0.152214,0.0111078,-0.0175564,0.136319
523,-0.135907,0.00796926,0.0122043,0.124825
524,-0.132285,0.00921391,-0.00565233,0.128314
525,-0.129599,0.013862,0.000146144,0.123317
526,-0.132115,0.00568298,-0.0075594,0.130601
527,-0.142474,0.00705895,-0.00804161,0.118853
528,-0.147599,0.0012704,-0.0103758,0.110778
529,-0.147599,0.0012704,-0.0103758,0.110778
530,-0.152049,0.0136752,-0.0037621,0.11759
531,-0.142086,0.0066915,-0.00447499,0.12472
532,-0.128603,0.0121103,0.0068342,0.123285
533,-0.128603,0.0121103,0.0068342,0.123285
534,-0.127679,-0.00768954,0.00986546,0.126796
535,-0.149875,0.00982362,0.00282365,0.124158
536,-0.150692,0.00462483,-0.00716733,0.12475
537,-0.13868,0.00248632,-0.00873406,0.126802
538,-0.135991,0.00394623,0.00229568,0.115373
539,-0.144033,0.00810499,0.0016666,0.12353
