t,deltaS
1661,-0.1117
1662,0.1206
1663,-0.00446
1664,-0.1305
1665,0.08929
1666,-0.1359
1667,-0.04879
1668,0.136
1669,0.04168
1670,0.07689
1671,-0.3003
1672,0.03147
1673,0.05069
1674,-0.04808
1675,0.0226
1676,0.001856
1677,0.1551
1678,0.01495
1679,-0.005931
1680,0.02173
1681,-0.06838
1682,-0.1338
1683,0.1618
1684,0.09341
1685,0.02089
1686,0.0214
1687,0.1133
1688,-0.1727
1689,-0.09793
1690,0.03016
1691,0.01744
1692,0.05776
1693,0.03475
1694,0.1361
1695,-0.07469
1696,-0.09542
1697,-0.04107
1698,-0.1026
1699,-0.009416
1700,0.01826
1701,0.02448
1702,0.06232
1703,-0.07269
1704,0.2138
1705,-0.1619
1706,0.07551
1707,-0.05768
1708,0.08891
1709,-0.02062
1710,-0.123
1711,-0.2114
1712,0.1081
1713,0.1988
1714,-0.1175
1715,-0.1904
1716,0.2296
1717,-0.1668
1718,0.01876
1719,-0.1612
1720,-0.09843
1721,0.009312
1722,0.1261
1723,-0.1871
1724,0.174
1725,-0.1097
1726,-0.06447
1727,-0.02405
1728,-0.1087
1729,0.1786
1730,-0.05521
1731,0.06522
1732,0.06896
1733,0.08149
1734,-0.01736
1735,0.01315
1736,0.1057
1737,-0.001665
1738,-0.3392
1739,-0.03556
1740,0.1089
1741,-0.01778
1742,-0.0505
1743,0.129
1744,-0.1938
1745,-0.08408
1746,0.02196
1747,0.1851
1748,0.1418
1749,0.04317
1750,0.1917
1751,0.09975
1752,-0.06753
1753,0.1017
1754,0.01844
1755,-0.1997
1756,-0.0656
1757,-0.09124
1758,-0.08477
1759,0.2822
1760,-0.009135
1761,-0.08196
1762,0.009169
1763,-0.06681
1764,-0.09459
1765,0.1059
1766,-0.02558
1767,0.11
